Date,Description,Amount
2026-01-02,WHOLEFDS #10 WHOLE FOODS,-82.45
2026-01-03,NETFLIX.COM,-15.99
2026-01-05,CHEVRON GAS STATION,-54.20
2026-01-07,AMAZON.COM*MK1234567,-37.99
2026-01-08,EMPLOYER DIRECT DEP,3200.00
2026-01-10,STARBUCKS #4521,-6.75
2026-01-12,CVS/PHARMACY #8822,-23.10
2026-01-14,UBER TRIP,-18.50
2026-01-15,SPOTIFY USA,-9.99
2026-01-18,WHOLEFDS #10 WHOLE FOODS,-91.30
2026-01-20,ATM WITHDRAWAL,-200.00
2026-01-22,PLANET FITNESS,-24.99
2026-01-23,CHIPOTLE 1234,-12.85
2026-01-25,HULU,-17.99
2026-01-26,AMAZON PRIME,-14.99
2026-01-28,SHELL OIL 12345678,-61.40
2026-01-30,FREELANCE PAYMENT,750.00
2026-02-01,RENT PAYMENT,-1450.00
2026-02-03,WHOLEFDS #10 WHOLE FOODS,-78.20
2026-02-05,NETFLIX.COM,-15.99
2026-02-06,ELECTRIC BILL PAYMENT,-112.34
2026-02-08,EMPLOYER DIRECT DEP,3200.00
2026-02-10,APPLE.COM/BILL,-3.99
2026-02-12,WALGREENS #5544,-31.75
2026-02-14,VALENTINES DINNER UPSCALE STEAKHOUSE,-287.50
2026-02-15,UBER EATS,-44.30
2026-02-18,STARBUCKS #4521,-7.25
2026-02-20,TARGET 0001,-156.88
2026-02-22,PLANET FITNESS,-24.99
2026-02-24,CHASE CREDIT CARD PAYMENT,-500.00
2026-02-26,SPOTIFY USA,-9.99
2026-02-28,AMAZON.COM*MK9876543,-89.00
2026-03-01,RENT PAYMENT,-1450.00
2026-03-03,LAPTOP PURCHASE BEST BUY,-1249.99
2026-03-05,WHOLEFDS #10 WHOLE FOODS,-95.60
2026-03-07,CHEVRON GAS STATION,-58.10
2026-03-08,EMPLOYER DIRECT DEP,3200.00
2026-03-10,NETFLIX.COM,-15.99
2026-03-12,DOCTOR COPAY,-40.00
2026-03-14,DENTAL CLEANING,-175.00
2026-03-16,STARBUCKS #4521,-6.50
2026-03-18,UBER TRIP,-22.75
2026-03-20,PLANET FITNESS,-24.99
2026-03-22,SPOTIFY USA,-9.99
2026-03-25,FREELANCE PAYMENT,500.00
2026-03-27,AMAZON.COM*MK5555555,-24.99
2026-03-29,WHOLEFDS #10 WHOLE FOODS,-88.40
2026-03-31,CASINO WITHDRAWAL,-800.00
